['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['23:06:08', '', "(Jupiter,43.773,(r)) (ASC,133.849,(d)) (square,5')", '', '', "(Uranus,55.574,(r)) (ASC,100.621,(c)) (45-semisquare,3')", '', '', '', "(Mars,182.168,(r)) (MC,32.250,(d)) (150-quincunx,5')", '', '', '', '', '', '', 3]
['23:06:16', '', '', '', '', "(Uranus,55.574,(r)) (ASC,100.648,(c)) (45-semisquare,4')", '', '', '', '', '', '', '', '', '', '', 1]
['23:06:24', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.482,(c)) (square,6')", "(ASC,118.921,(r)) (Mars,163.993,(c)) (45-semisquare,4')", '', '', '', 2]
['23:06:32', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.517,(c)) (square,3')", "(Mars,182.168,(r)) (ASC,92.087,(c)) (square,5')\n(ASC,118.945,(r)) (Mars,163.991,(c)) (45-semisquare,3')", '', '', "(Saturn,43.266,(r)) (MC,43.116,(d)) (conjunction,9')", 4]
['23:06:40', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.552,(c)) (square,1')", "(Mars,182.168,(r)) (ASC,92.117,(c)) (square,3')\n(ASC,118.968,(r)) (Mars,163.989,(c)) (45-semisquare,1')", '', '', "(Saturn,43.266,(r)) (MC,43.150,(d)) (conjunction,7')", 4]
['23:06:48', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.586,(c)) (square,1')", "(Mars,182.168,(r)) (ASC,92.146,(c)) (square,1')\n(ASC,118.992,(r)) (Mars,163.988,(c)) (45-semisquare,0')", '', '', "(Saturn,43.266,(r)) (MC,43.184,(d)) (conjunction,5')", 4]
['23:06:56', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.621,(c)) (square,3')", "(Mars,182.169,(r)) (ASC,92.176,(c)) (square,0')\n(ASC,119.016,(r)) (Mars,163.986,(c)) (45-semisquare,2')", '', '', "(Saturn,43.266,(r)) (MC,43.217,(d)) (conjunction,3')", 4]
['23:07:04', '', '', '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.655,(c)) (square,5')", "(Mars,182.169,(r)) (ASC,92.206,(c)) (square,2')\n(ASC,119.039,(r)) (Mars,163.985,(c)) (45-semisquare,3')", '', '', "(Saturn,43.266,(r)) (MC,43.251,(d)) (conjunction,1')", 4]
['23:07:12', '', '', '', '', '', '', '', '', '', '', '', "(Mars,182.169,(r)) (ASC,92.236,(c)) (square,4')\n(ASC,119.063,(r)) (Mars,163.983,(c)) (45-semisquare,5')", "(Mercury,217.542,(r)) (MC,37.369,(d)) (opposition,10')", '', "(Saturn,43.266,(r)) (MC,43.285,(d)) (conjunction,1')", 4]
['23:07:20', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.542,(r)) (MC,37.404,(d)) (opposition,8')", '', "(Saturn,43.266,(r)) (MC,43.319,(d)) (conjunction,3')", 2]
['23:07:28', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.542,(r)) (MC,37.438,(d)) (opposition,6')", '', "(Saturn,43.266,(r)) (MC,43.352,(d)) (conjunction,5')", 2]
['23:07:36', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.542,(r)) (MC,37.472,(d)) (opposition,4')", '', "(Saturn,43.266,(r)) (MC,43.386,(d)) (conjunction,7')", 2]
['23:07:44', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.542,(r)) (MC,37.506,(d)) (opposition,2')", '', "(Saturn,43.266,(r)) (MC,43.420,(d)) (conjunction,9')", 2]
['23:07:52', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.543,(r)) (MC,37.541,(d)) (opposition,0')", "(Moon,293.865,(r)) (MC,143.801,(c)) (150-quincunx,4')", '', 2]
['23:08:00', '', '', '', '', '', '', '', '', '', '', '', '', "(Mercury,217.543,(r)) (MC,37.575,(d)) (opposition,2')", "(MC,1.570,(r)) (Uranus,91.644,(d)) (square,4')\n(Moon,293.866,(r)) (MC,143.835,(c)) (150-quincunx,2')", '', 3]
['23:08:08', '', '', '', '', '', '', '', '', '', '', "(Neptune,176.003,(r)) (MC,145.932,(c)) (30-semisextile,4')", '', "(Mercury,217.543,(r)) (MC,37.609,(d)) (opposition,4')", "(MC,1.606,(r)) (Uranus,91.642,(d)) (square,2')\n(Moon,293.868,(r)) (MC,143.870,(c)) (150-quincunx,0')", '', 4]
['23:08:16', '', '', '', '', '', '', '', '', '', '', "(Neptune,176.003,(r)) (MC,145.967,(c)) (30-semisextile,2')", '', "(Mercury,217.543,(r)) (MC,37.644,(d)) (opposition,6')", "(MC,1.643,(r)) (Uranus,91.640,(d)) (square,0')\n(Moon,293.869,(r)) (MC,143.904,(c)) (150-quincunx,2')", '', 4]
['23:08:24', '', '', '', '', '', '', '', '', '', '', "(Neptune,176.003,(r)) (MC,146.002,(c)) (30-semisextile,0')", '', "(Mercury,217.543,(r)) (MC,37.678,(d)) (opposition,8')\n(Uranus,55.574,(r)) (MC,145.496,(c)) (square,5')", "(MC,1.679,(r)) (Uranus,91.638,(d)) (square,2')\n(Moon,293.870,(r)) (MC,143.938,(c)) (150-quincunx,4')", '', 5]
['23:08:32', '', '', "(ASC,119.300,(r)) (Mean_Node,179.389,(c)) (sextile,5')", "(ASC,119.300,(r)) (Mercury,209.390,(c)) (square,5')", '', '', '', '', '', '', "(Neptune,176.003,(r)) (MC,146.036,(c)) (30-semisextile,2')", '', "(Mercury,217.543,(r)) (MC,37.712,(d)) (opposition,10')\n(Uranus,55.574,(r)) (MC,145.530,(c)) (square,3')", "(MC,1.716,(r)) (Uranus,91.636,(d)) (square,5')", '', 6]
['23:08:40', '', '', "(ASC,119.324,(r)) (Mean_Node,179.387,(c)) (sextile,4')", "(ASC,119.324,(r)) (Mercury,209.388,(c)) (square,4')", '', '', '', '', '', '', "(Neptune,176.003,(r)) (MC,146.071,(c)) (30-semisextile,4')", '', "(Uranus,55.574,(r)) (MC,145.565,(c)) (square,1')", '', '', 4]
['23:08:48', '', '', "(ASC,119.348,(r)) (Mean_Node,179.386,(c)) (sextile,2')", "(ASC,119.348,(r)) (Mercury,209.386,(c)) (square,2')", '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.600,(c)) (square,2')", '', '', 3]
['23:08:56', '', '', "(ASC,119.372,(r)) (Mean_Node,179.385,(c)) (sextile,1')", "(ASC,119.372,(r)) (Mercury,209.385,(c)) (square,1')", '', '', '', '', '', '', '', '', "(Uranus,55.574,(r)) (MC,145.634,(c)) (square,4')", '', '', 3]
