['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:21:20, 359, opp/conj: 8', 'sqr/tri/sext: 8', 'major: 16', 'minor: 10']
['20:21:28, 314, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 10']
['20:21:36, 288, opp/conj: 6', 'sqr/tri/sext: 7', 'major: 13', 'minor: 9']
['20:21:44, 289, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 7']
['20:21:52, 259, opp/conj: 6', 'sqr/tri/sext: 6', 'major: 12', 'minor: 7']
['20:22:00, 289, opp/conj: 6', 'sqr/tri/sext: 8', 'major: 14', 'minor: 6']
['20:22:08, 293, opp/conj: 6', 'sqr/tri/sext: 9', 'major: 15', 'minor: 5']
['20:22:16, 309, opp/conj: 6', 'sqr/tri/sext: 10', 'major: 16', 'minor: 6']
['20:22:24, 301, opp/conj: 5', 'sqr/tri/sext: 10', 'major: 15', 'minor: 7']
['20:22:32, 305, opp/conj: 4', 'sqr/tri/sext: 10', 'major: 14', 'minor: 10']
['20:22:39, 277, opp/conj: 3', 'sqr/tri/sext: 9', 'major: 12', 'minor: 13']
['20:22:47, 290, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 14']
['20:22:56, 276, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 13']
['20:23:04, 302, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 13']
['20:23:12, 272, opp/conj: 1', 'sqr/tri/sext: 12', 'major: 13', 'minor: 10']
['20:23:20, 248, opp/conj: 1', 'sqr/tri/sext: 11', 'major: 12', 'minor: 8']
['20:23:28, 232, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 8']
['20:23:36, 178, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 4']
['20:23:44, 162, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 4']
['20:23:52, 150, opp/conj: 3', 'sqr/tri/sext: 4', 'major: 7', 'minor: 4']
['20:24:00, 180, opp/conj: 4', 'sqr/tri/sext: 3', 'major: 7', 'minor: 8']
['20:24:08, 171, opp/conj: 4', 'sqr/tri/sext: 2', 'major: 6', 'minor: 8']
['20:24:16, 215, opp/conj: 4', 'sqr/tri/sext: 4', 'major: 8', 'minor: 10']
['20:24:23, 258, opp/conj: 5', 'sqr/tri/sext: 5', 'major: 10', 'minor: 11']
['20:24:31, 316, opp/conj: 6', 'sqr/tri/sext: 6', 'major: 12', 'minor: 15']
['20:24:39, 300, opp/conj: 6', 'sqr/tri/sext: 5', 'major: 11', 'minor: 16']
['20:24:47, 318, opp/conj: 6', 'sqr/tri/sext: 7', 'major: 13', 'minor: 13']
['20:24:56, 324, opp/conj: 6', 'sqr/tri/sext: 7', 'major: 13', 'minor: 14']
['20:25:04, 303, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 14']
['20:25:12, 275, opp/conj: 5', 'sqr/tri/sext: 4', 'major: 9', 'minor: 15']
['20:25:20, 263, opp/conj: 5', 'sqr/tri/sext: 4', 'major: 9', 'minor: 13']
['20:25:28, 311, opp/conj: 6', 'sqr/tri/sext: 4', 'major: 10', 'minor: 16']
