['Time', 'Event0', 'Count']
['02:53:44', '', 0]
['02:53:52', '', 0]
['02:54:00', '', 0]
['02:54:08', '', 0]
['02:54:16', "(MC,60.330,(r)) (Moon,285.406,(c)) (135-sesquisquare,5')", 1]
['02:54:24', "(MC,60.362,(r)) (Moon,285.405,(c)) (135-sesquisquare,3')", 1]
['02:54:32', "(MC,60.395,(r)) (Moon,285.403,(c)) (135-sesquisquare,1')", 1]
['02:54:40', "(MC,60.427,(r)) (Moon,285.402,(c)) (135-sesquisquare,2')", 1]
['02:54:48', "(MC,60.459,(r)) (Moon,285.400,(c)) (135-sesquisquare,4')", 1]
['02:54:56', "(MC,60.491,(r)) (Moon,285.399,(c)) (135-sesquisquare,6')", 1]
['02:55:04', '', 0]
['02:55:12', '', 0]
['02:55:20', '', 0]
['02:55:28', '', 0]
['02:55:36', '', 0]
['02:55:44', '', 0]
['02:55:52', '', 0]
['02:56:00', "(Pluto,124.181,(r)) (ASC,169.091,(d)) (45-semisquare,5')", 1]
['02:56:08', "(Pluto,124.181,(r)) (ASC,169.114,(d)) (45-semisquare,4')", 1]
['02:56:16', "(Pluto,124.181,(r)) (ASC,169.136,(d)) (45-semisquare,3')", 1]
['02:56:24', "(Pluto,124.181,(r)) (ASC,169.159,(d)) (45-semisquare,1')\n(ASC,158.509,(r)) (Mean_Node,203.579,(d)) (45-semisquare,4')", 2]
['02:56:32', "(Pluto,124.181,(r)) (ASC,169.182,(d)) (45-semisquare,0')\n(ASC,158.532,(r)) (Mean_Node,203.577,(d)) (45-semisquare,3')", 2]
['02:56:39', "(Pluto,124.181,(r)) (ASC,169.205,(d)) (45-semisquare,1')\n(ASC,158.555,(r)) (Mean_Node,203.575,(d)) (45-semisquare,1')", 2]
['02:56:47', "(Pluto,124.181,(r)) (ASC,169.228,(d)) (45-semisquare,3')\n(ASC,158.578,(r)) (Mean_Node,203.573,(d)) (45-semisquare,0')", 2]
['02:56:56', "(Pluto,124.181,(r)) (ASC,169.251,(d)) (45-semisquare,4')\n(ASC,158.600,(r)) (Mean_Node,203.571,(d)) (45-semisquare,2')", 2]
