['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-06 19:05:51', '0', '1', '2', '3', '4', "(Venus,118.010,(r)) (H10,237.920,(d)) (trine,5.36')", "(Mars,208.712,(r)) (H3,28.848,(d)) (opposition,8.18')", "(Mars,208.712,(r)) (H7,88.655,(c)) (trine,3.41')", '8', '9', '10', '11', '12', "(Jupiter,35.152,(r)) (H5,95.204,(d)) (sextile,3.17')", '14', '15', '16', 4]
['1916-09-06 22:50:23', '0', "(Moon,277.199,(r)) (H10,277.082,(d)) (conjunction,7.03')", "(Moon,277.199,(r)) (H4,97.082,(d)) (opposition,7.03')", '3', '4', '5', "(Mean_Node,296.515,(r)) (H1,26.572,(d)) (square,3.39')\n(Mean_Node,296.515,(r)) (H12,296.461,(c)) (conjunction,3.30')", "(Mars,208.815,(r)) (H5,88.812,(c)) (trine,0.15')", '8', '9', '10', "(Jupiter,35.145,(r)) (H1,35.282,(d)) (conjunction,8.21')\n(Mean_Node,296.515,(r)) (H4,56.597,(c)) (trine,4.91')", '12', '13', '14', '15', '16', 7]
['1916-09-06 21:26:39', '0', '1', '2', '3', '4', '5', "(Moon,276.367,(r)) (H12,276.473,(c)) (conjunction,6.36')\n(Neptune,123.889,(r)) (H1,303.881,(c)) (opposition,0.46')", '7', '8', "(Moon,276.367,(r)) (H4,96.458,(d)) (opposition,5.48')\n(Venus,118.100,(r)) (H1,297.965,(c)) (opposition,8.10')", '10', '11', '12', '13', '14', '15', '16', 4]
['1916-09-06 11:49:36', "(Mercury,190.144,(r)) (H7,10.071,(c)) (opposition,4.36')", "(Moon,270.652,(r)) (H10,90.685,(c)) (opposition,2.02')", "(Moon,270.652,(r)) (H1,180.739,(c)) (square,5.26')\n(Moon,270.652,(r)) (H4,270.685,(c)) (conjunction,2.02')", "(Venus,117.731,(r)) (H1,177.759,(c)) (sextile,1.69')", '4', '5', "(Pluto,94.267,(r)) (H3,274.257,(d)) (opposition,0.56')", '7', '8', '9', '10', "(Sun,163.533,(r)) (H5,343.377,(d)) (opposition,9.41')", '12', '13', "(Venus,117.731,(r)) (H4,237.701,(c)) (trine,1.82')", "(Pluto,94.267,(r)) (H8,94.278,(d)) (conjunction,0.70')\n(Uranus,316.711,(r)) (H4,226.748,(c)) (square,2.24')", '16', 10]
['1916-09-06 13:32:07', '0', '1', '2', '3', '4', '5', "(Mars,208.558,(r)) (H3,298.488,(d)) (square,4.22')", '7', '8', '9', '10', "(Mercury,190.221,(r)) (H5,10.394,(d)) (opposition,10.37')", "(Moon,271.664,(r)) (H4,271.829,(c)) (conjunction,9.86')", '13', '14', "(Mercury,190.221,(r)) (H8,10.179,(c)) (opposition,2.56')", '16', 4]
['1916-09-06 07:27:43', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', "(Sun,163.357,(r)) (H5,283.316,(d)) (trine,2.48')", '14', '15', '16', 1]
['1916-09-06 21:33:44', "(Mercury,190.583,(r)) (H4,70.647,(d)) (trine,3.84')", '1', '2', '3', '4', '5', '6', "(Sun,163.927,(r)) (H10,223.885,(c)) (sextile,2.55')", '8', '9', '10', '11', "(Jupiter,35.147,(r)) (H4,35.008,(c)) (conjunction,8.34')", '13', '14', '15', '16', 3]
['1916-09-06 12:09:04', "(Uranus,316.710,(r)) (H3,256.765,(d)) (sextile,3.27')", "(Jupiter,35.163,(r)) (H10,95.165,(c)) (sextile,0.09')", '2', "(Venus,117.743,(r)) (H10,117.863,(d)) (conjunction,7.18')", '4', '5', '6', "(Mercury,190.159,(r)) (H10,130.248,(d)) (sextile,5.35')", '8', '9', '10', "(Uranus,316.710,(r)) (H4,316.594,(d)) (conjunction,7.00')", '12', '13', "(Moon,270.844,(r)) (H1,150.905,(c)) (trine,3.67')", '15', '16', 6]
['1916-09-06 23:00:24', '0', '1', '2', '3', "(Saturn,116.882,(r)) (H1,26.948,(d)) (square,3.99')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Pluto,94.272,(r)) (H8,274.202,(d)) (opposition,4.16')", 2]
['1916-09-06 13:17:36', "(Moon,271.521,(r)) (H7,31.553,(c)) (trine,1.93')", '1', '2', '3', "(Saturn,116.840,(r)) (H12,206.755,(d)) (square,5.13')\n(Mercury,190.210,(r)) (H1,190.358,(c)) (conjunction,8.85')", '5', '6', '7', '8', '9', "(Moon,271.521,(r)) (H10,91.440,(c)) (opposition,4.86')", '11', "(Venus,117.787,(r)) (H5,297.935,(c)) (opposition,8.90')", '13', '14', '15', '16', 5]
