Row 108: {'time': '2000-03-11 08:00:32', 'p_a_conj': 4, 'p_a_maj': 20, 'p_a_allm': 24, 'p_a_min': 24, 'e': 1, 'all_conj': 4}
Row 109: {'time': '2000-03-11 09:12:47', 'p_a_conj': 5, 'p_a_maj': 16, 'p_a_allm': 21, 'p_a_min': 34, 'e': 1, 'all_conj': 5}
Row 110: {'time': '2000-03-11 10:53:20', 'p_a_conj': 5, 'p_a_maj': 25, 'p_a_allm': 30, 'p_a_min': 28, 'e': 0, 'all_conj': 5}
Row 111: {'time': '2000-03-11 14:20:56', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 37, 'e': 0, 'all_conj': 8}
Row 112: {'time': '2000-03-11 10:05:43', 'p_a_conj': 10, 'p_a_maj': 21, 'p_a_allm': 31, 'p_a_min': 25, 'e': 0, 'all_conj': 10}
Row 113: {'time': '2000-03-11 07:55:59', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 36, 'e': 1, 'all_conj': 6}
Row 114: {'time': '2000-03-11 08:23:12', 'p_a_conj': 4, 'p_a_maj': 29, 'p_a_allm': 33, 'p_a_min': 27, 'e': 0, 'all_conj': 4}
Row 115: {'time': '2000-03-11 06:23:28', 'p_a_conj': 12, 'p_a_maj': 24, 'p_a_allm': 36, 'p_a_min': 27, 'e': 0, 'all_conj': 12}
Row 116: {'time': '2000-03-11 10:06:47', 'p_a_conj': 11, 'p_a_maj': 19, 'p_a_allm': 30, 'p_a_min': 26, 'e': 0, 'all_conj': 11}
Row 117: {'time': '2000-03-11 09:19:28', 'p_a_conj': 4, 'p_a_maj': 15, 'p_a_allm': 19, 'p_a_min': 25, 'e': 0, 'all_conj': 4}
Row 118: {'time': '2000-03-11 10:18:56', 'p_a_conj': 4, 'p_a_maj': 28, 'p_a_allm': 32, 'p_a_min': 29, 'e': 1, 'all_conj': 4}
Row 119: {'time': '2000-03-11 13:31:43', 'p_a_conj': 6, 'p_a_maj': 26, 'p_a_allm': 32, 'p_a_min': 26, 'e': 2, 'all_conj': 6}
Row 120: {'time': '2000-03-11 06:10:47', 'p_a_conj': 4, 'p_a_maj': 25, 'p_a_allm': 29, 'p_a_min': 21, 'e': 3, 'all_conj': 4}
Row 121: {'time': '2000-03-11 08:08:48', 'p_a_conj': 9, 'p_a_maj': 17, 'p_a_allm': 26, 'p_a_min': 33, 'e': 2, 'all_conj': 9}
Row 122: {'time': '2000-03-11 12:26:39', 'p_a_conj': 10, 'p_a_maj': 26, 'p_a_allm': 36, 'p_a_min': 35, 'e': 1, 'all_conj': 10}
