['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 12:50:39', '0', "(Mercury,121.905,(r)) (H5,301.828,(d)) (opposition,4.57')\n(Venus,81.513,(r)) (H5,261.649,(c)) (opposition,8.15')", '2', "(Moon,22.484,(r)) (H7,322.524,(c)) (sextile,2.42')", "(Mars,164.680,(r)) (H10,44.655,(c)) (trine,1.51')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Uranus,11.331,(r)) (H1,191.298,(d)) (opposition,1.96')", '17', '18', '19', 5]
['1929-07-27 20:52:48', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(Mars,164.269,(r)) (H1,284.290,(d)) (trine,1.27')", '10', "(Neptune,150.109,(r)) (H4,330.221,(c)) (opposition,6.73')", '12', '13', '14', '15', '16', "(Jupiter,69.410,(r)) (H5,69.531,(d)) (conjunction,7.24')", '18', '19', 3]
['1929-07-28 19:55:20', '0', "(Mean_Node,47.208,(r)) (H7,47.363,(c)) (conjunction,9.35')", '2', '3', "(Moon,26.391,(r)) (H10,146.412,(c)) (trine,1.27')", "(Sun,125.216,(r)) (H8,125.322,(d)) (conjunction,6.39')", '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', "(Sun,125.216,(r)) (H4,305.098,(c)) (opposition,7.03')", "(Saturn,264.650,(r)) (H8,174.636,(d)) (square,0.84')", 5]
['1929-07-28 07:05:43', '0', "(Jupiter,69.486,(r)) (H7,249.347,(c)) (opposition,8.33')", '2', '3', '4', '5', '6', '7', '8', "(Uranus,11.333,(r)) (H4,191.293,(d)) (opposition,2.42')", '10', '11', '12', "(Mars,164.532,(r)) (H9,344.430,(d)) (opposition,6.09')", '14', '15', '16', '17', '18', '19', 3]
['1929-07-28 03:34:31', '0', '1', '2', "(Mercury,121.089,(r)) (H7,241.016,(d)) (trine,4.43')", '4', '5', '6', '7', '8', "(Mars,164.441,(r)) (H5,164.430,(d)) (conjunction,0.65')\n(Jupiter,69.460,(r)) (H1,69.456,(d)) (conjunction,0.24')", '10', '11', "(Pluto,108.362,(r)) (H8,198.326,(c)) (square,2.19')", '13', '14', '15', '16', "(Jupiter,69.460,(r)) (H10,249.556,(c)) (opposition,5.76')", '18', '19', 5]
['1929-07-28 06:30:32', '0', '1', '2', "(Sun,124.681,(r)) (H10,304.763,(c)) (opposition,4.90')", "(Sun,124.681,(r)) (H10,304.556,(c)) (opposition,7.55')", '5', '6', '7', '8', '9', "(Sun,124.681,(r)) (H4,184.593,(d)) (sextile,5.28')", '11', '12', '13', '14', "(Jupiter,69.482,(r)) (H10,9.529,(d)) (sextile,2.82')", '16', '17', "(Neptune,150.123,(r)) (H8,240.130,(c)) (square,0.43')", '19', 5]
['1929-07-28 14:12:24', '0', "(Mean_Node,47.220,(r)) (H10,107.177,(d)) (sextile,2.62')", "(Sun,124.988,(r)) (H10,65.019,(c)) (sextile,1.83')", '3', '4', "(Pluto,108.373,(r)) (H1,198.304,(d)) (square,4.14')", '6', '7', '8', '9', '10', '11', '12', "(Neptune,150.134,(r)) (H1,150.085,(c)) (conjunction,2.89')", '14', '15', '16', '17', '18', '19', 4]
['1929-07-28 07:42:23', "(Venus,81.280,(r)) (H1,81.438,(c)) (conjunction,9.52')", '1', '2', '3', '4', '5', '6', '7', '8', "(Sun,124.729,(r)) (H1,124.677,(d)) (conjunction,3.13')", '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', 2]
['1929-07-28 12:44:31', '0', "(Moon,22.428,(r)) (H7,322.422,(c)) (sextile,0.37')\n(Mars,164.677,(r)) (H10,44.737,(c)) (trine,3.57')", "(Venus,81.508,(r)) (H7,321.467,(c)) (trine,2.46')", '3', "(Mercury,121.896,(r)) (H5,301.902,(d)) (opposition,0.39')", '5', '6', '7', '8', '9', '10', '11', '12', '13', "(Mercury,121.896,(r)) (H1,181.845,(d)) (sextile,3.05')", '15', '16', "(Jupiter,69.528,(r)) (H7,309.534,(c)) (trine,0.35')", '18', '19', 6]
['1929-07-27 21:34:23', '0', '1', '2', '3', '4', '5', '6', "(Jupiter,69.415,(r)) (H5,69.251,(d)) (conjunction,9.85')\n(Mean_Node,47.257,(r)) (H4,347.330,(c)) (sextile,4.40')", '8', "(Mars,164.286,(r)) (H4,344.143,(c)) (opposition,8.59')", '10', "(Mars,164.286,(r)) (H5,74.284,(d)) (square,0.14')", '12', '13', '14', '15', '16', '17', '18', '19', 4]
['1929-07-28 17:15:12', '0', '1', '2', "(Mean_Node,47.213,(r)) (H10,107.268,(c)) (sextile,3.27')", '4', '5', '6', "(Uranus,11.329,(r)) (H1,191.368,(c)) (opposition,2.34')", '8', '9', '10', '11', "(Mars,164.793,(r)) (H4,344.915,(d)) (opposition,7.32')", '13', "(Jupiter,69.562,(r)) (H9,69.416,(c)) (conjunction,8.76')\n(Uranus,11.329,(r)) (H1,191.394,(c)) (opposition,3.88')", '15', '16', '17', '18', "(Saturn,264.655,(r)) (H1,264.700,(d)) (conjunction,2.68')", 6]
['1929-07-27 23:35:44', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(Jupiter,69.430,(r)) (H10,189.376,(c)) (trine,3.25')", '16', '17', '18', "(Sun,124.406,(r)) (H1,34.342,(d)) (square,3.84')", 2]
['1929-07-28 05:19:36', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', "(Mercury,121.244,(r)) (H5,121.126,(c)) (conjunction,7.03')", "(Mercury,121.244,(r)) (H5,121.121,(c)) (conjunction,7.36')", '12', '13', '14', '15', "(Mean_Node,47.240,(r)) (H8,227.213,(c)) (opposition,1.61')", '17', '18', '19', 3]
