Row 91: {'time': '1813-05-22 11:03:52', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 92: {'time': '1813-05-22 02:09:36', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_allm': 19, 'p_a_min': 10, 'e': 0, 'all_conj': 5}
Row 93: {'time': '1813-05-22 07:47:03', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_allm': 10, 'p_a_min': 15, 'e': 1, 'all_conj': 2}
Row 94: {'time': '1813-05-22 13:19:12', 'p_a_conj': 2, 'p_a_maj': 15, 'p_a_allm': 17, 'p_a_min': 24, 'e': 0, 'all_conj': 2}
Row 95: {'time': '1813-05-22 06:59:35', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 96: {'time': '1813-05-22 04:53:36', 'p_a_conj': 2, 'p_a_maj': 8, 'p_a_allm': 10, 'p_a_min': 24, 'e': 1, 'all_conj': 2}
Row 97: {'time': '1813-05-22 08:00:47', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 25, 'e': 0, 'all_conj': 4}
Row 98: {'time': '1813-05-22 20:13:28', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_allm': 16, 'p_a_min': 18, 'e': 0, 'all_conj': 5}
Row 99: {'time': '1813-05-22 22:21:35', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 12, 'e': 0, 'all_conj': 5}
Row 100: {'time': '1813-05-22 14:56:47', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 16, 'e': 0, 'all_conj': 4}
Row 101: {'time': '1813-05-22 07:30:47', 'p_a_conj': 2, 'p_a_maj': 9, 'p_a_allm': 11, 'p_a_min': 20, 'e': 0, 'all_conj': 2}
Row 102: {'time': '1813-05-22 07:52:07', 'p_a_conj': 0, 'p_a_maj': 10, 'p_a_allm': 10, 'p_a_min': 15, 'e': 0, 'all_conj': 0}
Row 103: {'time': '1813-05-22 16:27:19', 'p_a_conj': 1, 'p_a_maj': 17, 'p_a_allm': 18, 'p_a_min': 10, 'e': 0, 'all_conj': 1}
Row 104: {'time': '1813-05-22 20:25:52', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_allm': 15, 'p_a_min': 11, 'e': 0, 'all_conj': 3}
Row 105: {'time': '1813-05-22 19:22:07', 'p_a_conj': 4, 'p_a_maj': 7, 'p_a_allm': 11, 'p_a_min': 16, 'e': 0, 'all_conj': 4}
Row 106: {'time': '1813-05-22 07:02:47', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 18, 'e': 1, 'all_conj': 4}
Row 107: {'time': '1813-05-22 20:33:28', 'p_a_conj': 3, 'p_a_maj': 9, 'p_a_allm': 12, 'p_a_min': 14, 'e': 1, 'all_conj': 3}
Row 108: {'time': '1813-05-22 13:53:04', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_allm': 13, 'p_a_min': 15, 'e': 2, 'all_conj': 2}
Row 109: {'time': '1813-05-22 22:36:39', 'p_a_conj': 2, 'p_a_maj': 11, 'p_a_allm': 13, 'p_a_min': 12, 'e': 0, 'all_conj': 2}
Row 110: {'time': '1813-05-21 23:07:52', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_allm': 15, 'p_a_min': 20, 'e': 0, 'all_conj': 3}
Row 111: {'time': '1813-05-22 02:51:52', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_allm': 20, 'p_a_min': 17, 'e': 0, 'all_conj': 3}
Row 112: {'time': '1813-05-22 02:23:20', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_allm': 22, 'p_a_min': 20, 'e': 0, 'all_conj': 7}
Row 113: {'time': '1813-05-22 12:24:56', 'p_a_conj': 6, 'p_a_maj': 9, 'p_a_allm': 15, 'p_a_min': 12, 'e': 1, 'all_conj': 6}
Row 114: {'time': '1813-05-22 13:15:35', 'p_a_conj': 6, 'p_a_maj': 13, 'p_a_allm': 19, 'p_a_min': 16, 'e': 0, 'all_conj': 6}
Row 115: {'time': '1813-05-22 07:09:51', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 14, 'e': 0, 'all_conj': 4}
Row 116: {'time': '1813-05-22 13:41:28', 'p_a_conj': 4, 'p_a_maj': 9, 'p_a_allm': 13, 'p_a_min': 13, 'e': 0, 'all_conj': 4}
Row 117: {'time': '1813-05-22 05:37:28', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 8, 'e': 0, 'all_conj': 3}
Row 118: {'time': '1813-05-22 06:01:51', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 15, 'e': 1, 'all_conj': 4}
Row 119: {'time': '1813-05-22 22:00:47', 'p_a_conj': 3, 'p_a_maj': 13, 'p_a_allm': 16, 'p_a_min': 21, 'e': 0, 'all_conj': 3}
Row 120: {'time': '1813-05-22 12:34:07', 'p_a_conj': 4, 'p_a_maj': 18, 'p_a_allm': 22, 'p_a_min': 12, 'e': 0, 'all_conj': 4}
Row 121: {'time': '1813-05-22 07:06:23', 'p_a_conj': 6, 'p_a_maj': 16, 'p_a_allm': 22, 'p_a_min': 14, 'e': 1, 'all_conj': 6}
Row 122: {'time': '1813-05-22 09:59:35', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_allm': 16, 'p_a_min': 17, 'e': 0, 'all_conj': 6}
Row 123: {'time': '1813-05-22 19:52:23', 'p_a_conj': 0, 'p_a_maj': 11, 'p_a_allm': 11, 'p_a_min': 20, 'e': 0, 'all_conj': 0}
Row 124: {'time': '1813-05-22 22:54:56', 'p_a_conj': 8, 'p_a_maj': 19, 'p_a_allm': 27, 'p_a_min': 14, 'e': 1, 'all_conj': 8}
Row 125: {'time': '1813-05-22 02:30:56', 'p_a_conj': 7, 'p_a_maj': 11, 'p_a_allm': 18, 'p_a_min': 14, 'e': 0, 'all_conj': 7}
Row 126: {'time': '1813-05-22 12:31:04', 'p_a_conj': 9, 'p_a_maj': 14, 'p_a_allm': 23, 'p_a_min': 13, 'e': 0, 'all_conj': 9}
Row 127: {'time': '1813-05-22 20:42:08', 'p_a_conj': 2, 'p_a_maj': 16, 'p_a_allm': 18, 'p_a_min': 17, 'e': 0, 'all_conj': 2}
Row 128: {'time': '1813-05-22 01:40:47', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_allm': 18, 'p_a_min': 23, 'e': 0, 'all_conj': 6}
Row 129: {'time': '1813-05-22 07:54:07', 'p_a_conj': 0, 'p_a_maj': 10, 'p_a_allm': 10, 'p_a_min': 16, 'e': 1, 'all_conj': 0}
Row 130: {'time': '1813-05-22 04:57:51', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 131: {'time': '1813-05-22 01:04:07', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 23, 'e': 0, 'all_conj': 5}
Row 132: {'time': '1813-05-22 08:07:04', 'p_a_conj': 6, 'p_a_maj': 12, 'p_a_allm': 18, 'p_a_min': 16, 'e': 0, 'all_conj': 6}
Row 133: {'time': '1813-05-22 11:12:16', 'p_a_conj': 4, 'p_a_maj': 12, 'p_a_allm': 16, 'p_a_min': 14, 'e': 0, 'all_conj': 4}
Row 134: {'time': '1813-05-22 01:53:28', 'p_a_conj': 1, 'p_a_maj': 16, 'p_a_allm': 17, 'p_a_min': 15, 'e': 0, 'all_conj': 1}
Row 135: {'time': '1813-05-22 05:58:08', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 16, 'e': 0, 'all_conj': 4}
Row 136: {'time': '1813-05-22 03:13:43', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_allm': 15, 'p_a_min': 19, 'e': 0, 'all_conj': 2}
Row 137: {'time': '1813-05-22 08:11:44', 'p_a_conj': 5, 'p_a_maj': 13, 'p_a_allm': 18, 'p_a_min': 18, 'e': 0, 'all_conj': 5}
Row 138: {'time': '1813-05-22 05:45:20', 'p_a_conj': 2, 'p_a_maj': 14, 'p_a_allm': 16, 'p_a_min': 16, 'e': 1, 'all_conj': 2}
Row 139: {'time': '1813-05-22 02:02:47', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_allm': 15, 'p_a_min': 16, 'e': 1, 'all_conj': 2}
Row 140: {'time': '1813-05-22 16:56:39', 'p_a_conj': 4, 'p_a_maj': 13, 'p_a_allm': 17, 'p_a_min': 22, 'e': 0, 'all_conj': 4}
Row 141: {'time': '1813-05-22 06:27:35', 'p_a_conj': 1, 'p_a_maj': 10, 'p_a_allm': 11, 'p_a_min': 13, 'e': 2, 'all_conj': 1}
Row 142: {'time': '1813-05-22 14:30:48', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 20, 'e': 0, 'all_conj': 4}
Row 143: {'time': '1813-05-22 06:32:00', 'p_a_conj': 1, 'p_a_maj': 7, 'p_a_allm': 8, 'p_a_min': 10, 'e': 3, 'all_conj': 1}
Row 144: {'time': '1813-05-22 01:28:39', 'p_a_conj': 5, 'p_a_maj': 11, 'p_a_allm': 16, 'p_a_min': 15, 'e': 1, 'all_conj': 5}
Row 145: {'time': '1813-05-22 11:46:39', 'p_a_conj': 1, 'p_a_maj': 14, 'p_a_allm': 15, 'p_a_min': 20, 'e': 0, 'all_conj': 1}
Row 146: {'time': '1813-05-22 04:49:11', 'p_a_conj': 6, 'p_a_maj': 9, 'p_a_allm': 15, 'p_a_min': 16, 'e': 0, 'all_conj': 6}
Row 147: {'time': '1813-05-22 07:01:43', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 16, 'e': 1, 'all_conj': 4}
Row 148: {'time': '1813-05-22 01:39:19', 'p_a_conj': 8, 'p_a_maj': 10, 'p_a_allm': 18, 'p_a_min': 20, 'e': 0, 'all_conj': 8}
Row 149: {'time': '1813-05-22 20:52:48', 'p_a_conj': 3, 'p_a_maj': 8, 'p_a_allm': 11, 'p_a_min': 21, 'e': 0, 'all_conj': 3}
Row 150: {'time': '1813-05-22 00:20:23', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 19, 'e': 1, 'all_conj': 3}
