Row 68: {'time': '1935-01-09 01:19:20', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 288}
Row 69: {'time': '1935-01-08 15:58:07', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 3, 'e': 5, 'total_count': 185}
Row 70: {'time': '1935-01-08 15:16:47', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 4, 'a_p_min': 1, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 5, 'total_count': 268}
Row 71: {'time': '1935-01-08 19:34:07', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 2, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 5, 'total_count': 191}
Row 72: {'time': '1935-01-08 11:38:39', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 2, 'e': 5, 'total_count': 177}
Row 73: {'time': '1935-01-08 19:35:59', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 1, 'e': 7, 'total_count': 149}
Row 74: {'time': '1935-01-08 21:29:28', 'p_a_conj': 3, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 3, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 1, 'e': 5, 'total_count': 223}
Row 75: {'time': '1935-01-08 18:36:56', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 10, 'total_count': 83}
Row 76: {'time': '1935-01-08 17:38:23', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 3, 'a_p_maj': 3, 'a_p_min': 3, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 2, 'e': 2, 'total_count': 226}
Row 77: {'time': '1935-01-08 21:02:07', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 250}
